Month,Week,ManagedObjectid,Usage,MeterType
May,1,71778973,1000,Integrated
,,,,
May,1,22723573,2000,Integrated
,,,,
May,1,29531118,11000,Integrated
,,,,
May,1,71786686,0,Integrated
,,,,
May,1,22723601,3000,Integrated
,,,,
May,1,22723264,4000,Integrated
,,,,
May,1,22724108,3000,Integrated
,,,,
May,1,22724239,1000,Integrated
,,,,
May,1,22723148,5000,Integrated
,,,,
May,1,22723233,4000,Integrated
,,,,
May,1,22723068,1000,Integrated
,,,,
May,1,71786783,3000,Integrated
,,,,
May,1,22722646,2000,Integrated
,,,,
May,1,22723592,2000,Integrated
,,,,
May,1,71778966,5000,Integrated
,,,,
May,1,22723933,-1,Integrated
,,,,
May,1,29531044,4000,Integrated
,,,,
May,1,71786761,4000,Integrated
,,,,
May,1,71786612,3000,Integrated
,,,,
May,1,22723910,2000,Integrated
,,,,
May,1,22722935,0,Integrated
,,,,
May,1,29531060,2000,Integrated
,,,,
May,1,71786626,2000,Integrated
,,,,
May,1,22723007,1000,Integrated
,,,,
May,1,71786825,3000,Integrated
,,,,
May,1,22723864,1000,Integrated
,,,,
May,1,22723849,4000,Integrated
,,,,
May,1,22722954,2000,Integrated
,,,,
May,1,22723168,2000,Integrated
,,,,
May,1,22723376,6000,Integrated
,,,,
May,1,22723649,1000,Integrated
,,,,
May,1,71786772,4000,Integrated
,,,,
May,1,22723199,2000,Integrated
,,,,
May,1,22722999,2000,Integrated
,,,,
May,1,22723161,4000,Integrated
,,,,
May,1,22723964,3000,Integrated
,,,,
May,1,22723851,2000,Integrated
,,,,
May,1,29531078,1000,Integrated
,,,,
May,1,71786598,0,Integrated
,,,,
May,1,22723358,1000,Integrated
,,,,
May,1,22724073,3000,Integrated
,,,,
May,1,22723304,2000,Integrated
,,,,
May,1,22723322,3000,Integrated
,,,,
May,1,77759535,0,Integrated
,,,,
May,1,22723437,1000,Integrated
,,,,
May,1,22723888,3000,Integrated
,,,,
May,1,71786741,1000,Integrated
,,,,
May,1,22723299,1000,Integrated
,,,,
May,1,22723719,3000,Integrated
,,,,
May,1,22722683,2000,Integrated
,,,,
May,1,22723153,4000,Integrated
,,,,
May,1,22723048,2000,Integrated
,,,,
May,1,22723262,7000,Integrated
,,,,
May,1,71786640,2000,Integrated
,,,,
May,1,22722656,4000,Integrated
,,,,
May,1,22723219,2000,Integrated
,,,,
May,1,22723033,3000,Integrated
,,,,
May,1,71786601,2000,Integrated
,,,,
May,1,22722695,2000,Integrated
,,,,
