Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
59140,DORRIGO (OLD CORAMBA RD),NSW,7273.5,5484.8,-1.0,11,-30.34,152.72,746
59045,MELDRUM (COOLAWARRAH),NSW,7257.0,5219.4,97.8,46,-30.36,152.49,1230
32191,HAWKINS CREEK,QLD,7203.5,7404.2,37.9,30,-18.59,146.07,26
32094,GAIRLOCH,QLD,7191.0,7343.0,-1.0,19,-18.62,146.18,13
32078,INGHAM COMPOSITE,QLD,7010.0,6585.2,55.0,41,-18.65,146.18,12
32032,MACKNADE SUGAR MILL,QLD,7003.0,6327.5,76.2,106,-18.59,146.25,8
31205,COPPERLODE DAM ALERT,QLD,6970.0,7669.9,-1.0,16,-16.98,145.67,447
59151,COFFS HARBOUR AIRPORT,NSW,6954.6,4940.8,-1.0,5,-30.32,153.12,4
68247,BEAUMONT (THE CEDARS),NSW,6931.4,4812.9,95.0,21,-34.77,150.56,250
32185,HALIFAX ALERT,QLD,6893.0,6789.9,-1.0,13,-18.58,146.28,17
59139,NANA GLEN (COWLING CLOSE),NSW,6829.0,4170.3,100.0,45,-30.10,153.00,70
200790,CHRISTMAS ISLAND AERO,WA,6797.6,6479.6,58.1,32,-10.45,105.69,261
97054,ZEEHAN (WEST COAST PIONEERS MUSEUM),TAS,6716.8,7198.1,9.1,34,-41.88,145.34,175
58007,BYRON BAY (JACARANDA DRIVE),NSW,6646.0,5600.7,93.8,98,-28.64,153.59,3
58222,MINNIE WATER (PUMP SHED),NSW,6635.0,5043.4,-1.0,7,-29.78,153.26,30
31222,CAIRNS RACECOURSE,QLD,6628.6,6690.8,-1.0,5,-16.95,145.75,4
32045,VICTORIA SUGAR MILL,QLD,6622.2,6106.7,70.3,102,-18.65,146.20,10
58127,CLUNES (FLATLEY DRIVE),NSW,6603.6,4701.1,100.0,43,-28.73,153.41,89
58198,BALLINA AIRPORT AWS,NSW,6601.8,5396.4,-1.0,10,-28.84,153.56,1
